"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"TC-5, TC-6, TC-7: Randomly selects 4 of the 6 listed products, adds
    each to the cart, then verifies the cart badge count and the cart
    page's contents match the selection exactly.","698","test_random_product_selection_add_to_cart_and_verify[firefox]","tests","2026-08-04","passed","2026-08-04","","test_cart_flow","",""
"TC-5, TC-6, TC-7: Randomly selects 4 of the 6 listed products, adds
    each to the cart, then verifies the cart badge count and the cart
    page's contents match the selection exactly.","429","test_random_product_selection_add_to_cart_and_verify[chromium]","tests","2026-08-04","passed","2026-08-04","","test_cart_flow","",""
"TC-3: Logs out from an authenticated session and verifies the user
    is redirected back to the login screen.","1223","test_logout_functionality[firefox]","tests","2026-08-04","passed","2026-08-04","","test_logout_and_cart_visibility","",""
"TC-3: Logs out from an authenticated session and verifies the user
    is redirected back to the login screen.","1070","test_logout_functionality[chromium]","tests","2026-08-04","passed","2026-08-04","","test_logout_and_cart_visibility","",""
"TC-9: Selects each sort option in turn and asserts the resulting
    product order - by name or by price, ascending or descending as
    expected for that option.","59","test_sorting_functionality[firefox-Price (low to high)-price_asc]","tests","2026-08-04","passed","2026-08-04","","test_sorting","",""
"TC-1: Logs in with each predefined SauceDemo user and verifies the
    expected outcome - a successful redirect to the Products page for
    normal users, or a lockout error for locked_out_user.","8797","test_login_with_various_predefined_users[chromium-performance_glitch_user]","tests","2026-08-04","passed","2026-08-04","","test_login","",""
"TC-9: Selects each sort option in turn and asserts the resulting
    product order - by name or by price, ascending or descending as
    expected for that option.","94","test_sorting_functionality[firefox-Name (Z to A)-name_desc]","tests","2026-08-04","passed","2026-08-04","","test_sorting","",""
"TC-1: Logs in with each predefined SauceDemo user and verifies the
    expected outcome - a successful redirect to the Products page for
    normal users, or a lockout error for locked_out_user.","474","test_login_with_various_predefined_users[chromium-locked_out_user]","tests","2026-08-04","passed","2026-08-04","","test_login","",""
"TC-1: Logs in with each predefined SauceDemo user and verifies the
    expected outcome - a successful redirect to the Products page for
    normal users, or a lockout error for locked_out_user.","650","test_login_with_various_predefined_users[chromium-standard_user]","tests","2026-08-04","passed","2026-08-04","","test_login","",""
"TC-1: Logs in with each predefined SauceDemo user and verifies the
    expected outcome - a successful redirect to the Products page for
    normal users, or a lockout error for locked_out_user.","603","test_login_with_various_predefined_users[chromium-error_user]","tests","2026-08-04","passed","2026-08-04","","test_login","",""
"TC-2: Attempts login using each invalid credential combination from
    test_data.json (wrong password, missing username, missing password)
    and verifies the corresponding error message is shown.","3155","test_login_with_invalid_credentials[firefox-1]","tests","2026-08-04","passed","2026-08-04","","test_login","",""
"TC-1: Logs in with each predefined SauceDemo user and verifies the
    expected outcome - a successful redirect to the Products page for
    normal users, or a lockout error for locked_out_user.","5548","test_login_with_various_predefined_users[firefox-performance_glitch_user]","tests","2026-08-04","passed","2026-08-04","","test_login","",""
"TC-1: Logs in with each predefined SauceDemo user and verifies the
    expected outcome - a successful redirect to the Products page for
    normal users, or a lockout error for locked_out_user.","1002","test_login_with_various_predefined_users[firefox-problem_user]","tests","2026-08-04","passed","2026-08-04","","test_login","",""
"TC-4: Verifies the cart icon is visible on the product listing page
    immediately after login.","46","test_cart_icon_visibility[firefox]","tests","2026-08-04","passed","2026-08-04","","test_logout_and_cart_visibility","",""
"TC-1: Logs in with each predefined SauceDemo user and verifies the
    expected outcome - a successful redirect to the Products page for
    normal users, or a lockout error for locked_out_user.","522","test_login_with_various_predefined_users[firefox-locked_out_user]","tests","2026-08-04","passed","2026-08-04","","test_login","",""
"TC-1: Logs in with each predefined SauceDemo user and verifies the
    expected outcome - a successful redirect to the Products page for
    normal users, or a lockout error for locked_out_user.","619","test_login_with_various_predefined_users[chromium-problem_user]","tests","2026-08-04","passed","2026-08-04","","test_login","",""
"TC-9: Selects each sort option in turn and asserts the resulting
    product order - by name or by price, ascending or descending as
    expected for that option.","127","test_sorting_functionality[chromium-Name (Z to A)-name_desc]","tests","2026-08-04","passed","2026-08-04","","test_sorting","",""
"TC-2: Attempts login using each invalid credential combination from
    test_data.json (wrong password, missing username, missing password)
    and verifies the corresponding error message is shown.","1550","test_login_with_invalid_credentials[firefox-2]","tests","2026-08-04","passed","2026-08-04","","test_login","",""
"TC-9: Selects each sort option in turn and asserts the resulting
    product order - by name or by price, ascending or descending as
    expected for that option.","92","test_sorting_functionality[chromium-Name (A to Z)-name_asc]","tests","2026-08-04","passed","2026-08-04","","test_sorting","",""
